pub_year,country_code,cpc_broad_class,patent_count
1893,US,Data process related,259
1893,US,Mining related,101
1894,DE,Agriculture related,29
1894,DE,Data process related,1
1894,GB,Agriculture related,3
1894,GB,Data process related,1
1894,GB,Mining related,1
1894,SE,Agriculture related,50
1894,US,Agriculture related,1048
1894,US,Data process related,237
1894,US,Mining related,78
1895,CH,Agriculture related,1
1895,DE,Agriculture related,33
1895,GB,Agriculture related,4
1895,SE,Agriculture related,54
1895,US,Agriculture related,1059
1895,US,Data process related,208
1895,US,Mining related,118
1896,DE,Agriculture related,26
1896,DE,Data process related,3
1896,GB,Agriculture related,2
1896,SE,Agriculture related,55
1896,US,Agriculture related,1010
1896,US,Data process related,248
1896,US,Mining related,114
1897,CH,Agriculture related,1
1897,DE,Agriculture related,33
1897,DE,Data process related,5
1897,GB,Agriculture related,7
1897,SE,Agriculture related,46
1897,SE,Mining related,1
1897,US,Agriculture related,1099
1897,US,Data process related,229
1897,US,Mining related,82
1898,CH,Agriculture related,2
1898,CH,Data process related,1
1898,DE,Agriculture related,29
1898,DE,Data process related,2
1898,GB,Agriculture related,4
1898,SE,Agriculture related,35
1898,SE,Mining related,1
1898,US,Agriculture related,1114
1898,US,Data process related,193
1898,US,Mining related,81
1899,DE,Agriculture related,45
1899,DE,Data process related,6
1899,GB,Agriculture related,7
1899,GB,Mining related,1
1899,SE,Agriculture related,40
1899,US,Agriculture related,1230
1899,US,Data process related,239
1899,US,Mining related,80
1900,AT,Agriculture related,1
1900,BE,Agriculture related,148
1900,BE,Data process related,75
1900,BE,Mining related,10
1900,CH,Agriculture related,2
1900,DE,Agriculture related,100
1900,DE,Data process related,35
1900,DE,Mining related,25
1900,FR,Agriculture related,16
1900,FR,Data process related,7
1900,FR,Mining related,6
1900,GB,Agriculture related,25
1900,GB,Data process related,74
1900,GB,Mining related,18
1900,IN,Data process related,1
1900,IT,Agriculture related,2
1900,IT,Data process related,12
1900,LU,Agriculture related,20
1900,NL,Agriculture related,126
1900,NL,Data process related,215
1900,NL,Mining related,37
1900,NO,Agriculture related,1
1900,SE,Agriculture related,58
1900,SE,Data process related,3
1900,SE,Mining related,2
1900,SU,Mining related,1
1900,US,Agriculture related,1328
1900,US,Data process related,239
1900,US,Mining related,126
1901,AT,Agriculture related,1
1901,AT,Data process related,1
1901,DE,Agriculture related,32
1901,DE,Data process related,10
1901,GB,Agriculture related,1
1901,SE,Agriculture related,60
1901,SE,Mining related,1
1901,US,Agriculture related,1296
1901,US,Data process related,249
1901,US,Mining related,117
1902,AT,Agriculture related,2
1902,DE,Agriculture related,44
1902,DE,Data process related,10
1902,FR,Agriculture related,74
1902,FR,Data process related,28
1902,FR,Mining related,12
1902,GB,Agriculture related,5
1902,GB,Data process related,1
1902,SE,Agriculture related,59
1902,SE,Mining related,4
1902,US,Agriculture related,1344
1902,US,Data process related,277
1902,US,Mining related,149
1903,AT,Agriculture related,2
1903,AT,Data process related,2
1903,AT,Mining related,1
1903,DE,Agriculture related,46
1903,DE,Data process related,8
1903,FR,Agriculture related,331
1903,FR,Data process related,154
1903,FR,Mining related,51
1903,GB,Agriculture related,4
1903,SE,Agriculture related,64
1903,SE,Mining related,2
1903,US,Agriculture related,1590
1903,US,Data process related,325
1903,US,Mining related,181
1904,AT,Mining related,1
1904,DE,Agriculture related,66
1904,DE,Data process related,10
1904,FR,Agriculture related,304
1904,FR,Data process related,141
1904,FR,Mining related,65
1904,GB,Agriculture related,7
1904,GB,Mining related,1
1904,SE,Agriculture related,101
1904,SE,Mining related,1
1904,US,Agriculture related,1525
1904,US,Data process related,391
1904,US,Mining related,140
1905,AT,Agriculture related,1
1905,CH,Agriculture related,1
1905,DE,Agriculture related,45
