"year","country","agr_pat","dat_pat","min_pat","ene_pat","all_pat","TIDR_all","TIDR_agr","TIDR_min","TIDR_log","TIDR_nuc","TIDR_wind","TIDR_solar","TIDR_bio"
1991,"Bulgaria",10,4,1,12,27,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Brazil",185,189,77,54,505,-95.6947162426614,-134.567901234568,-41.3793103448276,-213.829787234043,-48.5714285714286,-140.944881889764,21.1538461538462,17.0731707317073
1991,"Canada",760,1573,454,105,2892,-106.201550387597,-67.5438596491228,-141.666666666667,-172.992700729927,-124.390243902439,-74.8571428571429,-102.542372881356,-94.4444444444444
1991,"Switzerland",52,42,14,8,116,-136.295369211514,-119.354838709677,-97.2222222222222,-148.214285714286,-162.745098039216,-167.8391959799,-103.870967741935,-119.69696969697
1991,"China",104,363,53,321,841,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Cuba",1,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Germany",1512,3445,535,281,5773,-156.408450704225,-169.266055045872,-182.432432432432,-199.264705882353,-183.809523809524,-120.454545454545,-123.308270676692,-172.932330827068
1991,"Denmark",253,79,34,30,396,-150.21770682148,-201.587301587302,-232,-140,-186.538461538462,-197.872340425532,-71.2,-63.0769230769231
1991,"Dominican Republic",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Egypt",21,1,2,1,25,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Spain",117,66,23,47,253,-67.2897196261682,-81.6901408450704,-36.8421052631579,-75,-87.2727272727273,-85.8585858585859,-36.2573099415205,-41.1764705882353
1991,"Finland",195,150,58,37,440,-50.1404494382023,-43.1192660550459,-95.4545454545455,-107.09219858156,-54.9019607843137,-52.6011560693642,-31.2925170068027,39.1304347826087
1991,"France",811,945,163,74,1993,NA,NA,NA,NA,NA,NA,NA,NA
1991,"United Kingdom",764,1841,553,73,3231,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Greece",52,10,10,4,76,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Hong Kong SAR China",6,117,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Hungary",287,71,20,72,450,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Ireland",105,63,31,10,209,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Israel",158,94,1,11,264,NA,NA,NA,NA,NA,NA,NA,NA
1991,"India",10,32,18,9,69,-24.7379454926625,-97.2222222222222,-18.75,-77.6119402985075,25.6410256410256,5.81395348837209,13.9240506329114,-75
1991,"Iceland",9,NA,2,NA,11,94.7103274559194,88.7096774193548,84.6153846153846,86.9565217391304,100,100,100,100
1991,"Italy",160,268,42,16,486,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Jordan",4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Japan",576,7751,181,7126,15634,-316.083916083916,-208.490566037736,-191.176470588235,-528.461538461538,-289.090909090909,-288.359788359788,-231.543624161074,-457.692307692308
1991,"South Korea",975,4549,48,85,5657,-30.0148588410104,18.2692307692308,10.2564102564103,-94.8529411764706,-36.1702127659575,-5.58659217877095,-76.3157894736842,33.3333333333333
1991,"Luxembourg",3,5,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Morocco",18,2,NA,1,21,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Monaco",1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Malta",1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Mexico",17,17,19,4,57,40.4545454545455,28.5714285714286,69.4444444444444,33.8129496402878,45.4545454545455,39.2045454545455,49.1071428571429,43.75
1991,"Malaysia",39,20,14,NA,73,25.1196172248804,43.9024390243902,43.3962264150943,41.8604651162791,31.25,1.06951871657754,8.21917808219178,29.3333333333333
1991,"Netherlands",208,195,42,14,459,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Norway",203,160,408,32,803,NA,NA,NA,NA,NA,NA,NA,NA
1991,"New Zealand",97,19,2,7,125,-7.5134168157424,-68.75,-72.2222222222222,-5.73770491803279,41.3793103448276,28.4810126582279,15.8415841584158,-82.8571428571429
1991,"Peru",3,14,2,1,20,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Philippines",22,4,NA,2,28,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Poland",66,19,22,46,153,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Portugal",80,11,1,2,94,29.3320347374401,21.2765957446809,61.015561015561,19.7570988710229,37.7777777777778,30.5732484076433,27.7777777777778,45.2830188679245
1991,"Romania",3,NA,NA,14,17,35.15625,51.6666666666667,14.2857142857143,-12.6582278481013,33.3333333333333,33.3333333333333,81.0810810810811,88
1991,"Sweden",156,153,71,35,415,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Singapore",6,85,13,NA,104,-25.9526261585994,19.4244604316547,19.672131147541,-42.8571428571429,21.4285714285714,-49.5575221238938,-48.5380116959064,-28.7671232876712
1991,"Tunisia",5,3,5,NA,13,82.8025477707006,85.5072463768116,95.4545454545455,88.8059701492537,94.2857142857143,72.0720720720721,70.8333333333333,96.4285714285714
1991,"Turkey",33,6,2,1,42,45.4237288135593,5,20.8333333333333,55.3030303030303,57.8947368421053,43.3333333333333,54.2857142857143,73.8095238095238
1991,"United States",2075,5505,773,199,8552,-210.068846815835,-196.208530805687,-183.076923076923,-347.474747474748,-260.493827160494,-146.180555555556,-156.25,-250.526315789474
1991,"South Africa",134,25,38,13,210,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Zambia",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Zimbabwe",2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Argentina",13,27,1,2,43,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Austria",306,357,79,36,778,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Australia",761,1048,321,86,2216,-38.7409200968523,-71.3235294117647,-83.3333333333333,-62.1951219512195,-9.25925925925926,-13.1004366812227,-35.2941176470588,-3.7037037037037
1992,"Belgium",43,47,17,4,111,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Bulgaria",14,1,1,4,20,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Brazil",129,131,48,43,351,-100.194552529183,-150,-50,-222.727272727273,-64.1025641025641,-107.801418439716,12.7450980392157,-32.1428571428571
1992,"Canada",780,1736,494,135,3145,-115.957446808511,-80.7017543859649,-104,-186.713286713287,-164.102564102564,-82.5842696629213,-91.4728682170543,-163.333333333333
1992,"Switzerland",30,43,7,7,87,-137.392373923739,-153.27868852459,-52.6315789473684,-192.207792207792,-160.78431372549,-154.761904761905,-83.4285714285714,-96.8253968253968
1992,"China",113,310,49,353,825,-47.8520286396181,-79.2857142857143,-50,-93.0851063829787,26.8292682926829,-15.0537634408602,-78.3333333333333,12.1621621621622
1992,"Cuba",1,2,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Cyprus",4,NA,NA,NA,4,69.8602794411178,84.5238095238095,94.4444444444444,59.2920353982301,86.2068965517241,59.8425196850394,68.0851063829787,83.3333333333333
1992,"Germany",1684,3899,657,304,6544,-154.671968190855,-184.375,-191.780821917808,-185.049833887043,-180.373831775701,-116.44908616188,-115.068493150685,-193.023255813954
1992,"Denmark",240,139,21,22,422,-156.527977044476,-225.806451612903,-225,-155.629139072848,-187.5,-181.699346405229,-75.187969924812,-84.375
1992,"Ecuador",1,1,NA,NA,2,94.4297082228117,89.1566265060241,85.7142857142857,96.1538461538462,100,95.4545454545455,100,90
1992,"Egypt",13,NA,2,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Spain",162,131,33,56,382,-76.285046728972,-82.312925170068,-97.2222222222222,-77.2020725388601,-114,-107.368421052632,-29.4797687861272,-53.7313432835821
1992,"Finland",205,225,90,60,580,-70.0689655172414,-73.2142857142857,-104.761904761905,-145.637583892617,-69.3877551020408,-72.0238095238095,-29.1925465838509,23.0769230769231
1992,"France",676,887,145,92,1800,NA,NA,NA,NA,NA,NA,NA,NA
1992,"United Kingdom",691,1883,632,88,3294,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Greece",85,14,5,18,122,52.20700152207,58.1967213114754,73.0769230769231,52.4324324324324,5.88235294117647,47.4452554744526,45.1923076923077,85.7142857142857
1992,"Hong Kong SAR China",6,114,NA,3,123,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Hungary",318,108,18,45,489,25.3993610223642,4,40.9090909090909,34.1614906832298,-9.09090909090909,20.979020979021,41.5094339622642,42
1992,"Ireland",85,84,15,4,188,27.1428571428571,30.46875,55.5555555555556,24.031007751938,31.4285714285714,17.2131147540984,27.3809523809524,34.2857142857143
1992,"Israel",207,146,4,12,369,NA,NA,NA,NA,NA,NA,NA,NA
1992,"India",9,34,15,15,73,-36.6120218579235,-108.974358974359,10.7142857142857,-145.3125,0,-15.4285714285714,24.7706422018349,-60.4651162790698
1992,"Iceland",9,NA,1,NA,10,92.4242424242424,85.9649122807018,81.8181818181818,86.6666666666667,100,96.3636363636364,94.5945945945946,100
1992,"Italy",164,270,26,36,496,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Jordan",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Japan",631,8851,131,8742,18355,-317.695473251029,-192.857142857143,-213.333333333333,-550,-298.148148148148,-288.144329896907,-228.125,-484.313725490196
1992,"South Korea",1009,4968,46,83,6106,-37.5714285714286,15.4545454545455,31.25,-124.264705882353,-21.8181818181818,-29.1428571428571,-60.8333333333333,17.8571428571429
1992,"Luxembourg",3,6,NA,2,11,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Morocco",7,2,3,2,14,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Monaco",3,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Mexico",113,99,46,13,271,38.0880121396055,28.5714285714286,74.3589743589744,35.1145038167939,68.0851063829787,24.3093922651934,50.4504504504504,31.1111111111111
1992,"Malaysia",28,22,8,2,60,18.0863477246208,33.8709677419355,50,34.1040462427746,7.89473684210526,0,-0.666666666666667,26.9230769230769
1992,"Netherlands",194,186,45,8,433,-119.416590701914,-192.024539877301,-72.5,-147.560975609756,-155.882352941176,-95.7894736842105,-67.9611650485437,-96.6292134831461
1992,"Norway",165,165,496,30,856,NA,NA,NA,NA,NA,NA,NA,NA
1992,"New Zealand",103,29,3,3,138,-20.6293706293706,-56.0747663551402,-106.25,-20,39.3939393939394,4.9079754601227,-3.92156862745098,-109.677419354839
1992,"Philippines",22,11,1,2,36,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Poland",62,25,23,47,157,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Portugal",86,41,5,8,140,34.5763652215265,22.4299065420561,61.0974610974611,35.5446355446355,39.5348837209302,35.1851851851852,26.0162601626016,55.1020408163265
1992,"Romania",11,NA,NA,23,34,47.9166666666667,57.5757575757576,50,3.73831775700935,66.6666666666667,48.75,82.6086956521739,67.6470588235294
1992,"Russia",14,5,5,145,169,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Sweden",133,127,52,34,346,-128.915662650602,-101.910828025478,-125.581395348837,-188.700564971751,-117.741935483871,-160,-78.6885245901639,-89.4736842105263
1992,"Singapore",7,100,38,3,148,-35.8375634517767,11.6788321167883,-4,-63.9810426540284,9.52380952380952,-58.7982832618026,-50,-12.7906976744186
1992,"Tunisia",4,3,NA,NA,7,79.4055201698514,77.7777777777778,90.9090909090909,85.3846153846154,82.3529411764706,72.4137931034483,72.463768115942,89.2857142857143
1992,"Turkey",33,18,1,NA,52,40.7176287051482,4.54545454545455,13.7931034482759,48.2517482517483,55.9322033898305,38.8888888888889,51.4018691588785,62.2641509433962
1992,"United States",2080,6019,817,222,9138,-210.571184995737,-199.514563106796,-242.857142857143,-333.009708737864,-270.886075949367,-153.424657534247,-137.246963562753,-271.264367816092
1992,"South Africa",144,43,66,11,264,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Zambia",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Zimbabwe",3,1,3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
