period,reporterDesc,id,flowDesc,partnerDesc,cmdCode,cmdDesc,fobvalue,Category
1989,Brazil,51322743,Export,Jamaica,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",215425,Agriculture
1989,Brazil,51894412,Export,Angola,8437,"Machines for cleaning, sorting, grading seed, grain, dried leguminous vegetables; machinery used in the milling industry for the working of cereals or dried leguminous vegetables, not farm type machinery",32733,Agriculture
1989,Canada,50533483,Export,France,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",139303,Agriculture
1989,Canada,47342736,Import,Denmark,8437,"Machines for cleaning, sorting, grading seed, grain, dried leguminous vegetables; machinery used in the milling industry for the working of cereals or dried leguminous vegetables, not farm type machinery",292881,Agriculture
1989,Canada,99414538,Export,Netherlands,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",5434651,Logistics
1989,Canada,54425353,Export,Rep. of Korea,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",135364,Logistics
1989,Cyprus,50634406,Export,Canada,8435,"Presses, crushers and similar machinery; used in the manufacture of wine, cider, fruit juices or similar beverages",8373,Agriculture
1989,Denmark,48712058,Import,France,841710,"Furnaces and ovens; non-electric, for the roasting, melting or other heat-treatment of ores, pyrites or of metals, for industrial or laboratory use",NA,Mining
1989,Denmark,51785240,Export,Italy,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",709118,Agriculture
1989,Denmark,48538764,Import,Austria,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,NA,Logistics
1989,Denmark,53874114,Export,Nigeria,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,4643,Logistics
1989,Fed. Rep. of Germany (...1990),50324486,Export,Greece,8436,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",2315000,Agriculture
1989,Fed. Rep. of Germany (...1990),48663767,Import,"Other Asia, nes",8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",NA,Logistics
1989,Fed. Rep. of Germany (...1990),98218288,Export,Cabo Verde,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",1000,Logistics
1989,Fed. Rep. of Germany (...1990),99487889,Export,Ethiopia (...1992),847420,"Machines; for crushing or grinding earth, stone, ores or other mineral substances",1000,Mining
1989,Fed. Rep. of Germany (...1990),54095290,Export,Tunisia,8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",2579000,Logistics
1989,Fed. Rep. of Germany (...1990),100362849,Export,Iran,8434,Milking machines and dairy machinery,94000,Agriculture
1989,Fed. Rep. of Germany (...1990),99291371,Export,Iraq,8701,Tractors; (other than tractors of heading no 8709),14269000,Logistics
1989,Fed. Rep. of Germany (...1990),52063341,Export,Uganda,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",1375000,Agriculture
1989,Finland,98406143,Export,Czechoslovakia (...1992),8701,Tractors; (other than tractors of heading no 8709),136823,Logistics
1989,Finland,52632517,Export,Portugal,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,190686,Logistics
1989,Finland,47846496,Import,"Areas, nes",8435,"Presses, crushers and similar machinery; used in the manufacture of wine, cider, fruit juices or similar beverages",NA,Agriculture
1989,Greece,48837096,Import,Denmark,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",NA,Logistics
1989,Iceland,48790397,Import,Norway,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,NA,Logistics
1989,India,97676962,Export,Spain,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",2958,Logistics
1989,India,97759292,Export,Greece,8709,"Works trucks, self-propelled, (not fitted with lifting or handling equipment), for factories, warehouses etc, for short distance transport of goods, tractors used on railway station platforms; parts thereof",2667,Logistics
1989,Indonesia,44181776,Import,Fed. Rep. of Germany (...1990),9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",NA,Logistics
1989,Japan,97669974,Export,Dominica,8704,Vehicles; for the transport of goods,1815732,Logistics
1989,Japan,53302078,Export,USA,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",282982510,Logistics
1989,Japan,98740500,Export,Bermuda,8704,Vehicles; for the transport of goods,2133652,Logistics
1989,Japan,53987463,Export,Italy,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",13409686,Logistics
1989,Japan,97388012,Export,United Rep. of Tanzania,8709,"Works trucks, self-propelled, (not fitted with lifting or handling equipment), for factories, warehouses etc, for short distance transport of goods, tractors used on railway station platforms; parts thereof",46321,Logistics
1989,Japan,100534876,Export,Peru,8436,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",7893,Agriculture
1989,Malaysia,96664685,Export,Yugoslavia (...1991),847420,"Machines; for crushing or grinding earth, stone, ores or other mineral substances",385349,Mining
1989,Malaysia,49522340,Import,Japan,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",NA,Logistics
1989,New Zealand,49735387,Import,"Other Asia, nes",841710,"Furnaces and ovens; non-electric, for the roasting, melting or other heat-treatment of ores, pyrites or of metals, for industrial or laboratory use",NA,Mining
1989,New Zealand,45719843,Import,United Kingdom,8704,Vehicles; for the transport of goods,NA,Logistics
1989,Oman,54767181,Export,United Arab Emirates,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",32509,Logistics
1989,Paraguay,49948855,Import,Austria,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",NA,Logistics
1989,Portugal,54374867,Export,Italy,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,20216,Logistics
1989,Portugal,47564367,Import,Spain,8434,Milking machines and dairy machinery,NA,Agriculture
1989,Rep. of Korea,97373680,Export,"Areas, nes",8709,"Works trucks, self-propelled, (not fitted with lifting or handling equipment), for factories, warehouses etc, for short distance transport of goods, tractors used on railway station platforms; parts thereof",1189,Logistics
1989,Rep. of Korea,47241911,Import,"Areas, nes",8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",NA,Agriculture
1989,Romania,53976405,Export,USSR (...1990),8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,46000,Logistics
1989,Singapore,97640198,Export,New Zealand,9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",542411,Logistics
1989,Singapore,52317496,Export,Nigeria,8437,"Machines for cleaning, sorting, grading seed, grain, dried leguminous vegetables; machinery used in the milling industry for the working of cereals or dried leguminous vegetables, not farm type machinery",1233336,Agriculture
1989,Singapore,54065467,Export,Seychelles,8429,"Bulldozers, graders, levellers, scrapers, angledozers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers, self-propelled",91486,Logistics
1989,Spain,98532939,Export,Angola,8704,Vehicles; for the transport of goods,5518,Logistics
1989,Spain,100023933,Export,Japan,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",6308,Agriculture
1989,Spain,51919112,Export,Iran,8436,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",6414,Agriculture
1989,Spain,49076432,Import,Czechoslovakia (...1992),8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,NA,Logistics
